cpu_limit,workload,clients,throughput_rps_mean,avg_latency_ms_mean,p50_latency_ms_mean,p95_latency_ms_mean,p99_latency_ms_mean,cpu_pct_mean,memory_mb_used_mean,throughput_rps_stdev,avg_latency_ms_stdev,p50_latency_ms_stdev,p95_latency_ms_stdev,p99_latency_ms_stdev,cpu_pct_stdev,memory_mb_used_stdev
0.25,get,1,1045.270,0.949,0.935,1.068,1.340,33.200,5.000,8.661,0.006,0.000,0.020,0.096,0.000,0.000
0.25,get,10,6424.037,1.530,1.335,2.052,8.127,33.200,5.000,22.734,0.006,0.014,0.032,0.487,0.000,0.000
0.25,get,50,10198.790,4.844,3.116,16.290,37.546,33.200,5.000,158.025,0.070,0.137,1.153,4.230,0.000,0.000
0.25,get,100,12854.217,7.692,4.980,29.700,38.026,33.200,5.000,347.521,0.211,0.073,3.703,4.944,0.000,0.000
0.25,get,200,14530.697,13.375,8.412,45.631,53.770,33.200,5.000,819.689,0.887,0.196,3.620,5.212,0.000,0.000
0.25,set,1,1050.350,0.945,0.935,1.039,1.212,4.526,N/A,13.510,0.009,0.008,0.008,0.009,0.571,N/A
0.25,set,10,6433.670,1.528,1.322,2.012,9.404,N/A,N/A,19.587,0.005,0.012,0.023,0.761,N/A,N/A
0.25,set,50,10665.277,4.638,2.962,18.724,32.052,N/A,N/A,362.327,0.156,0.020,2.992,3.929,N/A,N/A
0.25,set,100,12271.430,8.053,5.066,28.479,38.271,N/A,N/A,165.640,0.111,0.028,3.060,6.955,N/A,N/A
0.25,set,200,13818.627,14.279,8.780,45.012,59.775,N/A,N/A,48.087,0.039,0.130,8.665,4.687,N/A,N/A
0.5,get,1,1048.410,0.947,0.938,1.044,1.236,14.400,4.000,8.416,0.009,0.009,0.005,0.037,0.000,0.000
0.5,get,10,6982.187,1.406,1.351,1.967,2.412,14.400,4.000,77.412,0.015,0.014,0.008,0.109,0.000,0.000
0.5,get,50,15049.517,3.271,3.020,4.876,7.084,14.400,4.000,523.640,0.112,0.101,0.240,1.397,0.000,0.000
0.5,get,100,19353.420,5.079,4.826,7.991,10.546,14.400,4.000,822.954,0.217,0.196,0.507,0.360,0.000,0.000
0.5,get,200,22119.157,8.850,8.623,13.404,15.948,14.400,4.000,1858.872,0.790,0.720,1.609,1.917,0.000,0.000
0.5,set,1,1048.560,0.947,0.932,1.060,1.274,N/A,N/A,8.945,0.005,0.005,0.005,0.023,N/A,N/A
0.5,set,10,7055.620,1.391,1.343,1.964,2.380,N/A,N/A,34.991,0.007,0.008,0.030,0.017,N/A,N/A
0.5,set,50,15207.693,3.230,2.970,4.826,6.055,N/A,N/A,235.994,0.054,0.077,0.017,0.148,N/A,N/A
0.5,set,100,19462.493,5.039,4.799,7.583,11.562,N/A,N/A,757.968,0.206,0.175,0.270,2.670,N/A,N/A
0.5,set,200,23878.353,8.204,8.082,12.260,16.503,14.400,4.000,1053.356,0.362,0.415,0.478,2.462,0.000,0.000
1.0,get,1,1046.187,0.949,0.935,1.076,1.343,7.500,4.000,13.817,0.012,0.008,0.018,0.042,0.000,0.000
1.0,get,10,7024.380,1.397,1.348,1.970,2.434,7.500,4.000,52.880,0.011,0.005,0.028,0.041,0.000,0.000
1.0,get,50,15083.437,3.262,3.020,5.052,6.842,7.500,4.000,104.034,0.019,0.059,0.095,0.697,0.000,0.000
1.0,get,100,19499.767,5.047,4.788,7.836,11.298,7.500,4.000,439.748,0.116,0.046,0.245,1.274,0.000,0.000
1.0,get,200,22981.597,8.443,8.231,13.244,15.724,8.800,4.500,606.800,0.250,0.259,0.699,1.266,1.838,0.707
1.0,set,1,1046.970,0.948,0.935,1.060,1.303,N/A,4.500,13.074,0.008,0.008,0.012,0.045,N/A,0.505
1.0,set,10,7060.600,1.390,1.343,1.943,2.346,N/A,N/A,35.037,0.007,0.000,0.035,0.088,N/A,N/A
1.0,set,50,15851.197,3.192,2.980,4.764,6.615,N/A,N/A,280.233,0.141,0.130,0.197,1.275,N/A,N/A
1.0,set,100,18604.567,5.274,4.975,8.228,12.276,N/A,N/A,686.567,0.215,0.233,0.348,1.630,N/A,N/A
1.0,set,200,21706.987,8.989,8.762,13.711,16.204,7.500,4.000,1615.720,0.614,0.554,1.064,1.239,0.000,0.000
